id,country,fdi,growth,innovation,competition,portfolio,trade
australia,Australia,7.52,6.73,4.01,7.69,7.31,5.69
canada,Canada,9.53,6.68,2.81,5.69,9.05,5.79
china,China,1.45,5.28,1.79,3.72,0.70,4.29
china-2010,China 2010 ,0.70,3.07,0.80,2.35,0.00,3.04
france,France,7.26,6.22,4.23,7.22,9.18,5.76
germany,Germany,4.96,4.94,6.07,8.24,6.49,6.87
italy,Italy,6.29,4.71,3.35,7.08,8.36,4.31
japan,Japan,5.78,4.50,7.43,8.44,8.26,5.48
open-economy-avg,Open Economy Avg,6.85,5.84,4.59,7.95,8.29,5.61
south-korea,South Korea,3.21,5.02,5.38,7.59,6.76,3.18
spain,Spain,7.91,3.76,2.80,8.87,8.27,4.91
united-kingdom,United Kingdom,8.34,8.58,5.96,9.41,9.68,6.30
united-states,United States,7.35,7.30,4.80,9.24,7.55,7.84
