id,country,innovation_1.1,innovation_1.2,innovation_1.3,innovation_2.1,innovation_2.2,innovation_3.1,innovation_4.1
australia,Australia,7.17,0.15,5.24,0.03,0.07,80.55,1.60
canada,Canada,7.33,0.29,1.25,0.04,0.35,74.71,10.90
china,China,8.34,0.52,3.72,0.04,0.04,54.86,0.60
china-2010,China 2010,7.35,0.06,2.98,0.02,0.01,36.52,1.30
france,France,10.17,0.29,1.80,0.08,0.61,91.43,7.60
germany,Germany,17.03,0.20,2.37,0.13,0.95,92.27,5.90
italy,Italy,10.25,0.03,1.67,0.05,0.24,83.15,9.80
japan,Japan,13.90,0.06,5.38,0.37,0.93,91.12,0.60
open-economy-avg,Open Economy Avg,11.87,0.30,2.77,0.10,0.54,87.09,6.77
south-korea,South Korea,19.39,0.39,3.72,0.13,0.48,83.73,0.90
spain,Spain,8.57,0.14,1.32,0.02,0.27,84.68,8.10
united-kingdom,United Kingdom,11.26,0.62,2.11,0.06,0.90,93.90,17.10
united-states,United States,13.60,0.82,2.82,0.06,0.56,95.31,5.20
