id,country,fdi,growth,innovation,competition,portfolio,trade
australia,Australia,7.02,6.58,3.66,7.14,7.39,5.69
canada,Canada,8.84,6.40,2.87,6.14,8.44,5.79
china,China,2.24,2.59,2.42,2.97,1.11,4.29
china-2010,China 2010 ,0.70,0.85,0.74,2.29,0.00,3.04
france,France,7.14,6.95,4.10,6.55,8.63,5.76
germany,Germany,6.73,4.37,5.52,8.59,6.85,6.87
italy,Italy,6.16,3.11,2.87,6.92,7.54,4.31
japan,Japan,5.09,6.78,6.43,8.49,7.25,5.48
open-economy-avg,Open Economy Avg,6.95,5.81,4.42,7.82,7.86,5.61
south-korea,South Korea,4.92,5.38,5.27,7.33,5.82,3.18
spain,Spain,7.69,5.41,2.60,8.71,6.99,4.91
united-kingdom,United Kingdom,9.21,7.93,6.18,9.23,9.37,6.30
united-states,United States,6.65,5.92,5.54,9.09,7.30,7.84
