id,country,trade_1.1,trade_1.2,trade_2.1,trade_3.1,trade_3.2
australia,Australia,0.01,0.01,2.45,0.81,0.92
canada,Canada,0.02,0.01,4.11,0.79,0.96
china,China,0.13,0.05,7.45,0.58,0.49
china-2010,China 2010,0.09,0.05,9.74,0.57,0.51
france,France,0.03,0.04,6.16,0.79,0.88
germany,Germany,0.07,0.05,6.16,0.82,0.86
italy,Italy,0.02,0.02,6.16,0.69,0.87
japan,Japan,0.04,0.03,8.07,0.80,0.90
open-economy-avg,Open Economy Avg,0.04,0.03,6.97,0.78,0.89
south-korea,South Korea,0.03,0.02,14.07,0.78,0.86
spain,Spain,0.02,0.01,6.16,0.79,0.88
united-kingdom,United Kingdom,0.03,0.05,6.16,0.83,0.92
united-states,United States,0.11,0.10,10.17,0.79,0.92
